Category: All categories

Week,EV: (Worldwide),Electric vehicle: (Worldwide),Lithium: (Worldwide),Energy: (Worldwide),Crude Oil: (Worldwide)
2018-10-28,8,5,5,37,2
2018-11-04,7,6,5,40,4
2018-11-11,8,5,5,50,4
2018-11-18,8,5,4,41,5
2018-11-25,10,6,2,52,4
2018-12-02,8,6,4,45,5
2018-12-09,8,6,3,42,5
2018-12-16,9,3,5,36,4
2018-12-23,7,5,5,30,5
2018-12-30,8,5,5,39,4
2019-01-06,8,6,4,41,4
2019-01-13,9,7,4,42,3
2019-01-20,7,7,4,41,3
2019-01-27,9,7,5,48,2
2019-02-03,7,7,2,44,2
2019-02-10,9,6,5,45,2
2019-02-17,6,5,5,44,3
2019-02-24,7,4,6,47,5
2019-03-03,10,9,5,42,2
2019-03-10,9,6,5,39,4
2019-03-17,9,8,4,45,4
2019-03-24,7,6,4,50,4
2019-03-31,9,7,4,49,4
2019-04-07,9,7,7,44,3
2019-04-14,8,6,5,37,2
2019-04-21,9,8,5,48,3
2019-04-28,8,7,4,45,5
2019-05-05,8,8,5,41,4
2019-05-12,7,6,4,45,5
2019-05-19,8,5,4,41,4
2019-05-26,8,5,3,51,4
2019-06-02,9,7,4,54,4
2019-06-09,7,5,4,51,4
2019-06-16,9,7,5,56,5
2019-06-23,8,7,4,44,4
2019-06-30,7,7,3,44,2
2019-07-07,12,9,5,49,2
2019-07-14,9,8,6,50,2
2019-07-21,7,7,5,45,2
2019-07-28,8,8,4,44,3
2019-08-04,8,10,4,47,3
2019-08-11,7,7,4,44,3
2019-08-18,9,7,3,50,2
2019-08-25,8,9,3,45,1
2019-09-01,8,6,4,42,2
2019-09-08,11,8,4,45,6
2019-09-15,7,9,1,50,10
2019-09-22,10,7,5,54,4
2019-09-29,9,8,4,46,2
2019-10-06,9,8,4,48,3
2019-10-13,9,10,5,53,5
2019-10-20,10,9,4,49,1
2019-10-27,8,8,4,47,4
2019-11-03,6,8,4,49,3
2019-11-10,8,9,6,50,3
2019-11-17,8,10,6,52,3
2019-11-24,11,9,4,44,4
2019-12-01,10,8,4,46,3
2019-12-08,8,7,4,46,2
2019-12-15,11,10,3,44,3
2019-12-22,11,10,5,30,3
2019-12-29,9,8,3,33,2
2020-01-05,10,10,5,45,6
2020-01-12,11,9,7,47,3
2020-01-19,12,8,5,42,2
2020-01-26,11,8,6,39,3
2020-02-02,11,12,5,44,5
2020-02-09,10,10,4,44,5
2020-02-16,9,7,5,44,2
2020-02-23,9,8,2,42,3
2020-03-01,8,6,2,40,5
2020-03-08,5,4,2,30,9
2020-03-15,4,3,1,19,7
2020-03-22,5,2,2,25,4
2020-03-29,4,3,2,33,10
2020-04-05,4,3,2,26,11
2020-04-12,5,4,1,36,8
2020-04-19,4,3,2,37,30
2020-04-26,6,3,3,38,11
2020-05-03,5,3,2,33,6
2020-05-10,7,5,3,39,6
2020-05-17,7,4,3,43,5
2020-05-24,8,5,2,38,4
2020-05-31,6,4,2,34,4
2020-06-07,8,6,4,38,5
2020-06-14,8,6,5,37,3
2020-06-21,8,5,4,32,5
2020-06-28,10,7,3,40,3
2020-07-05,10,8,4,37,4
2020-07-12,8,6,7,30,2
2020-07-19,7,5,4,33,4
2020-07-26,7,8,4,32,4
2020-08-02,8,6,4,32,2
2020-08-09,8,6,4,37,3
2020-08-16,8,6,4,44,4
2020-08-23,9,8,5,36,3
2020-08-30,9,8,5,46,3
2020-09-06,10,6,3,43,4
2020-09-13,7,6,6,42,3
