Category: All categories

Week,lithium: (Worldwide),EV: (Worldwide),Electric vehicle: (Worldwide),Electric battery: (Worldwide),Energy: (Worldwide)
2018-09-09,5,9,6,29,45
2018-09-16,5,7,7,30,41
2018-09-23,6,8,5,32,43
2018-09-30,5,8,5,29,44
2018-10-07,6,10,5,27,45
2018-10-14,4,10,6,32,46
2018-10-21,7,10,5,30,40
2018-10-28,5,7,6,29,48
2018-11-04,5,8,5,28,41
2018-11-11,6,9,6,36,53
2018-11-18,5,10,6,34,44
2018-11-25,3,10,7,28,49
2018-12-02,4,8,8,31,46
2018-12-09,4,8,7,30,41
2018-12-16,4,10,7,32,40
2018-12-23,6,9,7,28,31
2018-12-30,5,10,8,28,40
2019-01-06,5,9,7,33,47
2019-01-13,4,10,9,31,46
2019-01-20,5,7,7,27,40
2019-01-27,4,9,7,27,56
2019-02-03,3,9,7,26,45
2019-02-10,6,10,6,29,45
2019-02-17,5,5,5,29,49
2019-02-24,7,8,5,29,50
2019-03-03,6,12,11,31,45
2019-03-10,5,9,7,27,44
2019-03-17,4,9,9,29,49
2019-03-24,4,8,8,26,53
2019-03-31,5,12,7,28,44
2019-04-07,5,8,6,26,47
2019-04-14,3,10,8,25,46
2019-04-21,4,11,7,28,54
2019-04-28,5,9,6,26,51
2019-05-05,6,9,7,28,46
2019-05-12,4,8,8,28,46
2019-05-19,5,8,6,25,41
2019-05-26,5,10,5,28,42
2019-06-02,5,10,7,22,47
2019-06-09,5,8,6,29,48
2019-06-16,5,10,8,29,48
2019-06-23,5,8,7,32,48
2019-06-30,4,8,6,29,39
2019-07-07,5,13,10,28,53
2019-07-14,6,11,8,27,53
2019-07-21,8,8,9,31,47
2019-07-28,5,9,9,32,48
2019-08-04,5,9,10,31,52
2019-08-11,3,9,8,32,47
2019-08-18,4,10,8,27,53
2019-08-25,5,11,9,29,49
2019-09-01,4,9,7,26,45
2019-09-08,5,11,9,32,54
2019-09-15,4,8,9,31,58
2019-09-22,5,9,7,32,56
2019-09-29,6,10,10,32,51
2019-10-06,5,8,11,34,55
2019-10-13,6,11,10,33,53
2019-10-20,4,9,10,31,52
2019-10-27,5,9,6,29,56
2019-11-03,6,7,8,31,57
2019-11-10,6,8,10,26,61
2019-11-17,5,9,12,31,58
2019-11-24,6,12,12,32,42
2019-12-01,5,12,12,31,53
2019-12-08,5,9,8,30,57
2019-12-15,4,12,10,29,50
2019-12-22,6,13,10,36,38
2019-12-29,4,10,9,27,45
2020-01-05,5,12,11,28,53
2020-01-12,8,11,10,33,59
2020-01-19,6,14,8,29,57
2020-01-26,5,13,10,25,47
2020-02-02,6,13,13,28,51
2020-02-09,4,12,12,31,54
2020-02-16,5,10,10,31,51
2020-02-23,3,8,10,21,48
2020-03-01,4,9,7,25,47
2020-03-08,2,5,4,19,40
2020-03-15,1,4,3,14,24
2020-03-22,2,5,3,13,27
2020-03-29,2,6,2,17,37
2020-04-05,2,5,3,19,34
2020-04-12,2,6,5,21,43
2020-04-19,3,4,3,25,44
2020-04-26,3,6,3,24,48
2020-05-03,2,6,3,21,42
2020-05-10,3,7,5,28,45
2020-05-17,4,9,5,28,44
2020-05-24,3,9,5,29,40
2020-05-31,3,7,5,27,39
2020-06-07,4,9,6,29,52
2020-06-14,5,9,6,30,44
2020-06-21,5,8,6,31,46
2020-06-28,5,11,7,28,49
2020-07-05,5,12,9,34,52
2020-07-12,7,9,8,31,44
2020-07-19,3,10,7,26,51
2020-07-26,2,8,8,30,50
2020-08-02,3,9,5,29,49
2020-08-09,4,8,5,31,46
2020-08-16,4,9,8,30,53
2020-08-23,6,10,8,29,41
2020-08-30,5,10,9,37,49
2020-09-06,2,11,7,35,43
2020-09-13,7,9,7,36,55
2020-09-20,6,8,8,64,53
2020-09-27,9,10,7,30,58
2020-10-04,8,10,7,34,57
2020-10-11,5,9,8,35,51
2020-10-18,5,16,7,31,50
2020-10-25,4,13,7,25,51
2020-11-01,3,9,6,24,40
2020-11-08,4,10,10,28,56
2020-11-15,5,14,12,32,57
2020-11-22,7,16,12,37,54
2020-11-29,7,16,12,35,57
2020-12-06,6,12,9,34,55
2020-12-13,4,14,8,34,58
2020-12-20,4,13,9,33,49
2020-12-27,4,11,8,27,43
